density_radius_cee,min_density_cee,outlier_distance_cee,seeding_distance_cee,w_z_cee,density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,R1_ee,R2_ee,R3_ee,R1_pi,R2_pi,R3_pi
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,4.053808504655032,1.0,1.0,0.7552354756960222,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.3907129798350526,0.6454293628808865
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.98013697634826,0.568987938756605,1.2697803406807706,18.86474685092384,0.2,0.325750125433456,0.9356302292799076,0.6499999999999999,0.23941259994057265,0.6782378418560696,5.726401022799915
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.1618949345483358,1.5037422257142081,1.0,9.780978124321408,0.2,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.0743247744687872,1.5180055401662051
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,0.10700524654561017,30.0,1.924247024149678,0.5941851278072641,0.325750125433456,0.9356302292799076,0.6499999999999999,0.8252375827726706,0.3365432671361662,15.486895376092054
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.509793077795632,3.5157995738313383,1.3869429600748215,6.650917539653012,1.0,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.3416635927044258,0.7300234391647135
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,2.453831052688815,11.453220649866513,1.0,0.2,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.2272428631218133,0.9780524184956318
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,1.2853609868355829,9.031852635482373,5.493098944618412,0.695768908943287,0.325750125433456,0.9356302292799076,0.6499999999999999,0.7100147860851683,0.8813242967879531,1.037076496910292
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.29798236508077,4.071733632499361,2.6798110740735286,1.0,1.0,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.3943087544360426,0.6405284466226294
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,2.2738155586566458,26.86976256706516,1.0,0.3519445847102259,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.2045610934335904,1.0466652461112296
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,0.01,2.045283735509233,1.2830053582720202,0.9683685422668715,0.325750125433456,0.9356302292799076,0.6499999999999999,0.20709796593788607,0.31058247050241666,18.86660984444918
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.2817963337230334,2.8128972205927316,4.469933912053516,16.243945653037397,0.8296538950809358,0.325750125433456,0.9356302292799076,0.6499999999999999,0.4958507411562378,1.1999598326536722,0.8288940975921586
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,2.2258947710241044,1.0,1.0,0.2,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.1991763655683114,1.0656296611975284
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.1947869655888288,0.9197117772494643,1.0,1.0,0.3268156576377105,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,0.9156326125908887,2.441934796505434
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,4.277124597071348,1.0,1.851992056457112,0.2,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.4119995103162823,0.6147453654378863
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,4.289485912854559,1.1175339033598402,1.0,0.68591115055061,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.4148499573381967,0.6121883656509697
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,2.1878204306293783,2.1744310494825503,5.431367996487579,0.8685131738948125,0.325750125433456,0.9356302292799076,0.6499999999999999,0.250875644081814,1.1872106515069447,1.074152993820584
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,3.2100143424483805,1.0,1.1368560995116879,0.3183885916236422,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.3135625499238213,0.7811634349030472
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,5.4156520503803325,0.01,3.318943542400423,1.5879566281363025,0.7984962565246546,0.325750125433456,0.9356302292799076,0.6499999999999999,0.5869490034124986,0.31296442324647505,18.483272959727255
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.411833604227708,1.2854583578048677,20.93462294004231,1.9066138665665582,0.5430702683270952,0.325750125433456,0.9356302292799076,0.6499999999999999,0.28476599991013374,1.0193799553182425,1.7419561048369916
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.5442605790014947,3.535633926280108,1.6691833019455302,3.0088897659113334,0.48180241319364375,0.325750125433456,0.9356302292799076,0.6499999999999999,0.2115117514494788,1.342290552970766,0.7219262731728107
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,3.434918816479633,30.0,1.0,0.24079223048009168,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.3342029951745442,0.7404645216279566
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,1.657344362437402,1.0,1.0,1.0,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.1078357815731688,1.3812060515661626
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,3.334829086169502,0.01,17.405356684638036,2.552179405901492,0.5143482924955428,0.325750125433456,0.9356302292799076,0.6499999999999999,1.1945547655071986,0.3355092618193026,15.798210100149161
1.9900534205238491,1.3582662041347708,8.343738085179703,3.916318576232519,0.9548358146158352,1.0,2.2780690429932515,1.0,2.23753717881233,0.7755264169276822,0.325750125433456,0.9356302292799076,0.6499999999999999,0.206523465157812,1.2055124944460667,1.0443213296398892
