density_radius_cee,min_density_cee,outlier_distance_cee,seeding_distance_cee,w_z_cee,R1_ee,R2_ee,R3_ee
5.585116864129148,0.01,17.935574888178646,1.0,1.0,0.08655113026200927,0.03401983235445874,473.28437499999995
1.415440664883952,0.01,5.4695761065449595,1.0,0.6730923827707139,4.277188258761855,0.044846473727991595,430.74062499999997
1.7859517468188408,0.01,13.81251044606471,2.5889677625846828,0.7915102800095495,5.8197405207361195,0.19352826690478298,216.87812499999998
2.980421038540627,0.01,6.2263518992005515,1.0,0.4700668598930978,4.534904700906275,0.046455058193729686,424.996875
3.472699149350307,0.33790434560752824,15.651727255582761,1.0,1.0,0.054210542860993596,0.7897482795774057,161.93437500000002
6.0,0.01,8.210756579288505,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
3.256410547399036,0.01,20.0,1.0,1.0,0.08655113026200927,0.03425776004080279,472.68749999999994
4.148096659327695,0.01,20.0,1.0,1.0,0.08655113026200927,0.03414614739658001,472.98749999999995
5.703262109575453,0.01,14.065058045545753,1.0,0.932813572106852,1.1303570841254589,0.03542418615594166,457.2375
6.0,0.01,20.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
1.0,0.01,11.17149201593028,1.0,0.809158178481334,2.9284567810893756,0.04108943134316187,440.35624999999993
1.0,0.01,16.26387875327347,3.10003818259161,0.9801130736153625,5.775760185751226,0.21465537609292065,194.74374999999998
6.0,0.01,3.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
1.0,0.028317325351762866,8.752205944511587,1.0,1.0,0.08655113026200927,0.12082268529648325,379.04062500000003
5.548191779955415,0.01,15.927329164157946,1.0,1.0,0.08655113026200927,0.03401983235445874,473.28437499999995
4.285361465516294,0.01,20.0,1.0,0.6356848917400109,4.307506110857268,0.044481339352612954,431.846875
1.0,0.01,17.620279144995507,3.195035997091301,0.4,5.650575762147468,0.2941807177884706,104.06249999999999
4.341962698822013,0.01,20.0,1.0420216969844236,0.794748261762209,3.169082013959283,0.04178234669333852,439.646875
1.0,0.43143930907349615,8.443215140668825,1.3042897111664744,1.0,0.09245440432343295,1.3823023489535315,31.140625
1.7904647524088455,0.01,6.117886440509938,1.0,1.0,0.08655113026200927,0.03478249527116431,471.25
4.064477523173375,0.01,12.924871471694605,1.0,1.0,0.08655113026200927,0.034147507879968744,472.98437499999994
6.0,0.01,3.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
1.2252157489096152,0.01,3.0,19.09964999986704,0.6750615077914204,5.793715472272897,0.2436456387978942,155.25312499999998
6.0,0.38011960232772524,3.0395793847843553,1.0,1.0,0.07967568540507844,0.31389750028227675,343.87812499999995
5.66296774109765,0.01,11.351088866440033,1.0,1.0,0.08655113026200927,0.034016099076000755,473.290625
2.1951820794116115,0.11862519866444088,4.812223743318992,20.0,0.4,3.24342930013726,0.5155514958605965,7.374999999999999
4.293779013013086,0.22048071508501765,3.2955949950808865,1.0,0.6777585196750652,4.015328266018681,0.3345309526562408,293.00625
1.0,0.01,9.689057357288185,1.0,1.0,0.08655113026200927,0.03494280447771563,470.82187500000003
3.7808383739293157,0.01,4.225578553283301,2.0157978006935338,0.7038320124785639,5.728958181954971,0.12995604134256342,293.51875
6.0,0.01,3.0,1.0,0.47195916258997994,4.513657101167873,0.04593227539362339,426.228125
4.73169585509894,0.01,4.7277598137860455,1.0,0.8412250529955774,2.7558217032028907,0.03927118916746612,444.603125
6.0,1.5266051343548461,17.415235780694136,1.0,1.0,0.07967568540507844,0.5846283060198387,249.4625
6.0,0.01,20.0,1.0,1.0,0.08655113026200927,0.034008550764870235,473.29999999999995
