density_radius_cee,min_density_cee,outlier_distance_cee,seeding_distance_cee,w_z_cee,density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,F1_purity,F2_efficiency_deficit,F3_fragmentation
3.6424114474148928,3.0,8.220396408058082,3.0,0.6,5.786435705350856,2.5,3.4431212901472605,7.263782925801069,0.42436131928244153,0.3159574151626571,0.22877429661736942,11.913
3.643383630919626,3.0149706544069494,3.9298364586377437,3.0,0.6,2.0,2.5,2.5,14.940875100952923,1.0,0.22207600403496322,0.3077452202946929,6.615
4.512538268318386,3.0,10.0,3.0,0.7262732597543475,8.0,2.5,13.590056104395263,2.71017536839471,0.4,0.3912172009807733,0.1754647833317034,39.491
3.622106062802274,3.009352358922545,7.822250211514383,3.00659763196018,0.7195443736707499,3.7578476486315058,2.5,11.430298933560497,3.1743788818934915,0.42272445835472594,0.26533817522744335,0.2514888710038779,8.006
3.896203362877164,3.142685621376764,7.505315894147278,3.0,0.6524229933766564,8.0,2.5,15.0,3.14990058973288,0.4,0.36377457280017417,0.19704521544227552,25.597
3.7380161099742937,3.0,10.0,3.0,0.6,8.0,2.5,15.0,2.5,0.4,0.3434748163011237,0.1795647207361493,40.338
3.7593349101408293,3.0,9.643377393671638,3.000947504788569,0.6,7.955186290697016,2.5,4.8044067435335265,3.924913888743803,0.4035011517162918,0.3425127129828139,0.22321447136198083,13.32
3.760178842846779,3.0,9.706228011261658,3.000770344130322,0.6,6.894642075844296,2.5,4.891898928684752,5.8340060916819105,0.4,0.3163952505844206,0.26042880443226785,6.72
4.063119452422763,3.0,10.0,3.0,0.67484903063499,8.0,2.5,7.555050903450687,2.820108335865955,0.4,0.3726861496933267,0.1822170586759916,33.163
3.64515282532472,3.010211133861166,10.0,3.0,0.8001816407722624,8.0,2.5,15.0,3.211965985837241,0.4,0.32159558454320986,0.2036977275964907,23.305
4.323900898094985,3.0,10.0,3.000380939593201,0.6,8.0,2.5,11.057691691812417,2.5,0.4,0.3749399648985669,0.174714053022074,42.922
3.7159806667337634,3.0,10.0,3.0,0.7056130346662006,8.0,2.5,11.96238051941473,2.5,0.4,0.33396204787047845,0.18041206640986948,40.685
4.0261116836197015,3.0,8.725733410806997,3.0,0.6270279602611362,7.765714888751605,2.5,10.644655794541869,3.5154316472157405,0.4,0.36399817575697657,0.20538292334358915,18.563
3.5934417653595796,3.0,9.950116862437369,3.0,0.698595485216774,7.077075318419998,2.5,12.00366486835664,2.5999514824644994,0.4,0.31616693701886855,0.19540655060614692,32.269
3.746096714001994,3.0,10.0,3.0,0.6,8.0,2.5,15.0,3.513931755098361,0.4,0.35046588071386636,0.20845508618791017,17.977
4.333797005056304,3.0,10.0,3.0,0.6,8.0,2.5,15.0,4.0077114915714045,0.4,0.36856905942890544,0.21628186632270618,15.184
3.5674508030210923,3.0,10.0,3.0,0.7588913260290397,8.0,2.5,15.0,2.7751914370093145,0.4,0.3104950105048233,0.1906300214626404,32.318
3.6699866808669195,3.0,10.0,3.000031493375851,0.6579333571853149,8.0,2.5,7.936918243754727,2.5577631634241467,0.4,0.33000465908535637,0.18342295847521267,38.845
3.7170867543558983,3.0,10.0,3.0,0.6716515719899339,8.0,2.5,15.0,4.147374158425492,0.4,0.32798000275476635,0.22956570125169173,11.441
4.069702760030656,3.0,9.260133000475246,3.0000157330519817,0.6218758208710987,8.0,2.5,11.283577326603755,2.9660477873325584,0.4,0.3702902104383519,0.18741638873353358,29.514
4.172065130169741,3.0,9.92816492201088,3.000027139772825,0.6319053608182021,8.0,2.5,5.363816951584763,3.0636302896601735,0.4,0.37550785008368454,0.18763079420077117,28.298
4.731345714956916,3.0,7.5539609225688755,3.000089937972038,0.7183330960800336,8.0,2.5,2.5,7.493121263781109,0.4,0.3925703170199363,0.17181265137765453,45.939
3.6420497729944,3.0,10.0,3.001852678233215,0.6,8.0,2.5,15.0,3.2894570730557797,0.4,0.33784806591440214,0.20404850112611964,21.23
4.25763793651392,3.021691768672621,6.261151212855827,3.0,0.6447949573793991,8.0,2.5,15.0,2.76932664528223,0.4,0.3767295927106593,0.17810489571191543,35.599
3.7782106749611337,3.0,10.0,3.0,0.6,8.0,2.5,15.0,2.724413973667729,0.4,0.35177537764311506,0.1829249413898243,34.437
3.8180453518210005,3.0,9.87354721365496,3.000461867741714,0.6,7.898179506053333,2.5,13.689835491976075,3.194813531035928,0.4,0.35765865857636664,0.19708430873585778,23.814
4.38349961401948,3.0,8.038189624101559,3.0002298442674094,0.694814927241665,8.0,2.5,15.0,3.4201804192816887,0.4,0.38590228183382863,0.19461144532577682,23.612
4.133616045411827,3.0019461683832507,8.66724039459353,3.0,0.7405605339706881,8.0,2.5,15.0,3.5123305489115624,0.4,0.3781274140230359,0.20468590923560823,20.934
4.453488435224082,3.0,10.0,3.0,0.6887783039870992,8.0,2.5,4.20564402730514,2.5,0.4,0.3847804846989211,0.17270004460399485,44.318
3.860968592675917,3.0095042639204563,10.0,3.0002180375015257,0.6,8.0,2.5,14.134143152321087,3.313125116880408,0.4,0.35693084274810555,0.19767027696324863,21.972
3.7486459449814897,3.0,10.0,3.0,0.6,8.0,2.5,7.860644884482221,2.7989644562881493,0.4,0.3501792634567242,0.18754602460974387,31.81
4.000059925916967,3.0,8.677602667754154,3.0001668544799367,0.6,8.0,2.5,10.614088632802256,2.5,0.4,0.3579381058559094,0.17681765362393123,41.511
3.764115390380755,3.0,10.0,3.0011110486207397,0.6,6.939118874488333,2.5,9.336466225210899,3.888737482858769,0.4092213568596671,0.33831230473325014,0.2307406280859282,11.231
3.7163549687165824,3.0018284238744535,10.0,3.0,0.6022848486206949,8.0,2.5,4.304982136778568,2.5,0.4,0.3421350201893862,0.18034801698260192,40.234
3.5788244965933007,3.0,10.0,3.0,0.7281434926167867,2.0,2.5,2.5,2.5,0.4,0.19733560616414766,0.30706523700269855,6.674
3.853456993551676,3.0,10.0,3.000249077389924,0.6,8.0,2.5,7.3352322913075145,2.7285726458222967,0.4,0.35558045390594983,0.18127134242414367,34.665
3.5599481183925334,3.0,10.0,3.0001076674369958,0.6907557492625933,8.0,2.5,8.300635319173084,2.5,0.4,0.31009031088307054,0.18409941618993256,39.655
3.5661329322369526,3.0054723246677257,10.0,3.0,0.702851876340007,8.0,2.5,15.0,2.5,0.4,0.3070602208011355,0.18593839296737166,39.715
3.9044559440678563,3.0,10.0,3.0,0.6,8.0,2.5,13.228380843545144,2.697792100092221,0.4,0.35760514478639494,0.18105620883916704,35.679
3.7538798873872734,3.0,10.0,3.0,0.6095644203459769,8.0,2.5,10.54378034218638,3.666902413974155,0.4,0.34458133698124765,0.21042738610785272,16.008
3.9177086168452866,3.013861306302098,9.284694051535997,3.0,0.608204155817592,7.9836125448378485,2.5,13.774923323682856,2.5,0.4267084735551766,0.35430454415295826,0.17993597976296127,40.1
4.5899566925268696,3.0,9.672140290654074,3.0,0.7245094942932561,8.0,2.5,12.044631072006744,2.5,0.4,0.3942407093154336,0.17116079082840577,45.55
3.4270806924034023,3.143173413382548,9.539894537013188,3.0,0.7350074588341796,8.0,2.5,15.0,2.66661872721507,0.4,0.28097949129702227,0.19140952603006758,34.284
3.526325486791299,3.0,9.114774567609594,3.0,0.7292342692877687,5.355727217071683,2.5,12.572967286525106,2.5,0.43036321656644816,0.27902195570881083,0.22688778072602372,22.049
4.06812288114873,3.0,10.0,3.0002487039293824,0.6496664693533137,8.0,2.5,14.236007687196656,3.4197437646310402,0.4,0.37016508281247956,0.19981285222810125,21.629
3.4292741733740515,3.0,6.786068657116967,3.0,0.7064952920975263,8.0,2.5,7.363857565420972,4.4943721720348,0.4,0.265695648763666,0.25104477290899535,7.643
3.9995191226589144,3.041467740758471,7.2050791981667235,3.0,0.6,8.0,2.5,15.0,2.738968432289232,0.4,0.3600764313851506,0.18053561685706757,34.893
3.580449633403547,3.0150670055442403,9.430199937426417,3.0,0.6,7.490481549475717,2.5,12.770718182619154,2.741744529401028,0.4,0.3254635940873487,0.1953957589335261,30.043
3.614863286469005,3.0,6.886847192353732,3.0,0.6824399166125109,4.660532231153384,2.5,15.0,2.8017710871182127,0.4,0.29667043642569835,0.23339243561274406,14.214
4.145590571102591,3.0,7.518986814569065,3.0,0.6199654257923305,8.0,2.5,7.774241941569144,3.321292998831365,0.4,0.37153092732214554,0.1976415213225106,23.107
3.4911016278156364,3.0,10.0,3.0,0.7467149272458684,8.0,2.5,4.832904884630578,3.3414891080363143,0.4,0.2981251127120889,0.20880049943569706,19.905
3.88302618092349,3.0,10.0,3.0003249166201447,0.6941867992914232,8.0,2.5,14.603311059890348,2.992312815690976,0.4,0.36110790628045153,0.1903383370560045,28.655
3.6485447754333467,3.0,7.261104273127122,3.000292977393984,0.63453870698242,7.786056026477516,2.5,14.274353149329434,3.9328393075058194,0.4,0.325469580105037,0.2274937504896249,12.1
4.004079106480513,3.018555366666597,6.402262278474604,3.0,0.6,8.0,2.5,14.629038780183848,2.5,0.4,0.3571845468899228,0.17591531398183438,41.533
4.094804459686893,3.0,9.212366264773344,3.0,0.6940623553446691,8.0,2.5,15.0,3.2315227133683315,0.4,0.3729978170782342,0.1946476246089049,25.088
3.5918120099129163,3.0,10.0,3.0,0.6,8.0,2.5,7.6245334367372255,2.5,0.4154388878749029,0.32289219413268333,0.18664719961933576,38.87
4.064768449537012,3.001807433781505,9.631479126091335,3.00001686538787,0.6,8.0,2.5,15.0,3.2850718991485306,0.4,0.366284107550696,0.19675454167689976,23.307
3.58990574008439,3.0004470770984737,10.0,3.0,0.6,8.0,2.5,14.785381982732645,3.7887279265937863,0.4,0.32270124768594294,0.22016981874159564,13.703
4.034543859293809,3.030530723677772,10.0,3.0,0.6,3.8205037033453246,2.5,12.153756734781474,4.218320727056551,0.44936800059763543,0.2955437374724228,0.24709987535498912,6.798
4.053679893369453,3.0,9.439177313206208,3.0,0.616546904659623,8.0,2.5,13.211153759268806,2.5803455648195994,0.4,0.3642137309655171,0.17729173719947852,39.902
