density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,R1_pi,R2_pi,R3_pi
1.0,1.6346089587193082,19.185539468014582,1.9768544233073377,0.6990743798240981,0.24481133605718391,1.0974272839480108,1.2655018112081826
1.0,3.182186026532064,1.0,9.24884935714527,0.2,0.206523465157812,1.3116288788588784,0.6863413594715535
1.0,0.01,18.582380951298916,2.785577702352514,0.6722559954458651,1.2232023462496113,0.33580318492097505,15.314937140421907
1.0,0.3230247286621126,4.101612072182212,1.0,0.24336441535328698,0.20709796593788607,0.5585898768108071,7.247176646068614
1.0,1.8350483625989393,1.0,1.0,0.5732112680994015,0.206523465157812,1.140081934382002,1.1391434050713831
1.0,0.8811093340750948,18.825499545080614,3.3709773847332896,0.5037906758310613,0.7197744191637663,0.8299812238109102,1.8606435116130406
1.0,2.265931330844876,5.705062410149385,3.2212256215288884,0.4265834085402397,0.383602339639561,1.1123507770725332,0.6516087790326017
1.0,3.2663883720089433,23.281631981830724,1.0,0.5937386033631626,0.206523465157812,1.320494173838633,0.6714255273812061
1.9192137413056782,0.7707747294800479,3.497161113769397,14.834262794948444,0.8878208292894522,0.8246230222989925,0.7895521285357426,2.420839548263371
1.0,0.5354819110442476,2.227331583540621,1.0,0.6171055412189914,0.206523465157812,0.7348311720097545,4.173662902194758
1.0,0.7116069425554944,5.448705216626342,1.0,0.2,0.206523465157812,0.8319366870115393,3.0366503302791394
1.0,2.3712515817613347,1.0,5.082912103030692,1.0,0.206523465157812,1.2164916615596006,0.8947368421052632
1.0,0.2769995277873827,2.900687412380848,1.0,0.2981473656746603,0.20709796593788607,0.5101971591994322,8.431067547411038
1.0,2.7894284347800182,1.0,1.0,0.5280604016658306,0.206523465157812,1.2716760637445303,0.7700831024930749
1.0,0.01,14.703776549105786,4.878186569534991,0.2392764009546745,1.307791134485877,0.4841764664019355,5.803111016407416
